,Title,Score,Score Title,Number of Reviews,Description,Nearest Metropolis,City,Hotel Brand,Type,Star
343,Hotel Los Gatos,8.5, Very Good ,95,"Dio Deka, a top-rated restaurant, is located on-site at Hotel Los Gatos. A Mediterranean-inspired outdoor swimming pool and hot tub are available. ",San Francisco,Los Gatos,Local,Hotel,4
344,Two Bunch Palms Resort & Spa - Adults Only,8.5, Very Good ,183,"Located on 77 lush acres in Palm Springs, Two Bunch Palms is an adults-only resort and the first carbon neutral resort in the country. ",Palm Springs,Desert Hot Springs,Local,Hotel,4
345,Los Gatos Garden Inn Hotel,8.9, Excellent ,16,Los Gatos Garden Inn Hotel has accommodations in Los Gatos. This 4-star hotel features free WiFi and a garden. All rooms come with a TV with cable channels. ,San Francisco,Los Gatos,Local,Hotel,4
346,Village at Squaw Valley,8.5, Very Good ,228,"Located at the base of Squaw Valley Ski Resort, this year-round aparthotel features 8 hot tubs and upscale apartments with fully-equipped kitchens. ",Lake Tahoe,Olympic Valley,Local,Hotel,4
347,Aqua Soleil Hotel and Mineral Water Spa,8.0, Very Good ,679,"Featuring an outdoor and indoor mineral swimming pool, this Desert Hot Springs, California hotel and spa is 5 minutes’ drive to Desert Dunes Golf Course, 10 miles from downtown Palm Springs and 33...",Palm Springs,Desert Hot Springs,Local,Hotel,4
348,Aloft Sunnyvale,8.1, Very Good ,122,Aloft Sunnyvale is a modern hotel in the heart of downtown Sunnyvale. Sunnyvale Caltrain Station is located just 5 minutes' walk from the property. Free WiFi is available. ,San Francisco,Sunnyvale,Aloft,Hotel,4
349,Saratoga Oaks Lodge,8.7, Excellent ,156,"Saratoga Oaks Lodge is located in Saratoga, 1.4 mi from the Montalvo Arts Center and 2.6 mi from the Mountain Winery. ",San Francisco,Saratoga,Local,Hotel,4
350,Hotel Valencia Santana Row,8.9, Excellent ,208,"This hotel is the only hotel located on the fashionable Santana Row, which features upscale dining and shopping opportunities. ",San Francisco,San Jose,Local,Hotel,4
351,The Inn at Fawnskin,9.5, Exceptional ,34,The Inn at Fawnskin provides rooms in Fawnskin. All rooms feature a flat-screen TV with cable channels and a private bathroom. Guests can use a garden. ,Palm Springs,Fawnskin,Local,Hotel,4
352,Madrona Manor,9.2, Awesome ,36,"Madrona Manor is located in Healdsburg, 1 mi from Healdsburg Plaza. Guests can enjoy the on-site restaurant Wednesday through Sunday. ",Napa,Healdsburg,Local,Hotel,4
353,Clear Lake Cottages & Marina,9.3, Awesome ,52,"Located in Clearlake, 27 mi away from Healdsburg, California, Clear Lake Cottages & Marina features a seasonal outdoor pool and a private beach area. ",Clearlake,Clearlake,Local,Hotel,4
354,Hotel Metropole,8.7, Excellent ,29,"Located in the heart of Avalon on Catalina Island, this beachfront hotel features a spa & wellness center. It also serves a daily free continental breakfast and free Wi-Fi is available. ",Los Angeles,Avalon,Local,Hotel,4
355,Sierra Mountain Inn,9.1, Awesome ,167,"Located in Grass Valley, Sierra Mountain Inn features guest rooms with marble bathrooms. Free WiFi is included. Historic Old Town Grass Valley is 10 minutes’ walk away. ",Lake Tahoe,Grass Valley,Local,Hotel,4
356,Casa Madrona Hotel and Spa,8.3, Very Good ,190,"This elegant hotel is located next to the downtown Sausalito waterfront, overlooking the San Francisco skyline. The hotel offers a full-service spa, a restaurant and free WiFi. ",San Francisco,Sausalito,Local,Hotel,4
357,Blue Dolphin Inn,9.3, Awesome ,384,"Overlooking the Pacific Ocean on Moonstone Beach, this inn is 10 minutes’ drive to Hearst Castle. A fireplace, bathrobes and slippers are provided in all rooms. Moonstone Boardwalk is 100 feet away. ",San Luis Obispo,Cambria,Local,Hotel,4
358,Madonna Inn,8.8, Excellent ,1067,"Located in San Luis Obispo, this luxury hotel features an outdoor pool, 2 restaurants, a bakery and 2 bars. Each themed guest room is uniquely-decorated. Free Wi-Fi is offered in all rooms. ",San Luis Obispo,San Luis Obispo,Local,Hotel,4
359,Sonoma Coast Villa & Spa,8.7, Excellent ,216,"Offering an outdoor pool and full service spa and restaurant, Sonoma Coast Villa & Spa is within 9.9 mi of Korbel Champagne Cellars, Iron Horse Vineyards and other Sonoma county wineries. ",Napa,Bodega,Local,Hotel,4
360,PlumpJack Squaw Valley Inn,8.4, Very Good ,36,"In Olympic Valley, California, this inn features ski-in and ski-out accommodations and is near Squaw Valley Ski Center. It features on-site dining, an outdoor pool and a hot tub. ",Lake Tahoe,Olympic Valley,Local,Hotel,4
361,Imperial Hotel,8.9, Excellent ,70,This gold country hotel is in a brick 1879 hostelry.  It features a bar and restaurant on-site and serves a daily gourmet breakfast.  Each individually decorated room has access to free Wi-Fi. ,Sacramento,Amador City,Local,Hotel,4
362,La Playa Carmel,8.7, Excellent ,147,"Just 5 miles from Monterey Bay Aquarium, this luxury Carmel hotel provides a complimentary champagne brunch each morning. Guests will enjoy the outdoor pool complete with lounge chairs. ",Monterey,Carmel,Local,Hotel,4
363,Residence Inn by Marriott San Jose Airport,9.3, Awesome ,103,"Featuring a seasonal outdoor pool, the Residence Inn San Jose Airport offers suites with a full kitchen and hotel amenities. Mineta San José International Airport is 3 minutes’ drive away. ",San Francisco,San Jose,Marriott,Hotel,4
364,San Ramon Marriott,8.7, Excellent ,158,San Ramon Marriott is nestled among the California Redwoods in Bishop Ranch. The hotel is located 26 miles from Oakland Airport and just 20 minutes' drive from Livermore. ,San Francisco,San Ramon,Marriott,Hotel,4
365,Carriage House Inn,9.3, Awesome ,148,"Located in downtown Carmel, Carriage House Inn is within 10 minutes' drive from Pebble Beach and 17 Mile Drive. A free continental breakfast tray and newspaper are delivered to guest suites daily. ",Monterey,Carmel,Local,Hotel,4
366,Catalina Island Inn,8.7, Excellent ,490,Catalina Island Inn offers accommodations in the town of Avalon on Catalina Island and offers a continental breakfast. Some rooms offer balconies and harbor or ocean views. ,Los Angeles,Avalon,Local,Hotel,4
367,Desert Hot Springs Spa Hotel,6.7, Review score ,228,This Desert Hot Springs hotel features 8 mineral spring whirlpools and soaking pools for guest enjoyment. Spa services are also available. Rooms feature a spa bathtub and free wired internet. ,Palm Springs,Desert Hot Springs,Local,Hotel,4
368,Residence Inn by Marriott San Juan Capistrano,8.6, Excellent ,50,"Conveniently located off Interstate 5, this hotel features an outdoor swimming pool and hot tub, has spacious suites with free Wi-Fi and serves a daily hot breakfast. ",Los Angeles,San Juan Capistrano,Marriott,Hotel,4
369,Aloft San Jose Cupertino,8.7, Excellent ,160,"Just 6 minutes’ drive from luxury shopping at San Jose’s Santana Row, Aloft San Jose Cupertino offers relaxing facilities including an outdoor heated pool and an on-site restaurant. ",San Francisco,San Jose,Aloft,Hotel,4
370,Napa Valley Lodge,9.2, Awesome ,328,"Nestled in the heart of Napa Valley, Napa Valley Lodge offers on-site spa treatments and a continental Champagne breakfast. A heated outdoor pool and hot tub are featured. ",Napa,Yountville,Local,Hotel,4
371,The Hotel Fullerton Anaheim,8.3, Very Good ,396,"Located 15 minutes' drive from Disneyland, The Hotel Fullerton Anaheim offers a free shuttle service to Disneyland and the Anaheim Convention Center. ",Los Angeles,Fullerton,Local,Hotel,4
372,Hotel Amarano Burbank,8.3, Very Good ,384,"A 15-minute walk from the Warner Brothers Studio, this contemporary Burbank hotel offers on-site dining, a hot tub and a roof top terrace featuring city views. All rooms include Wi-Fi. ",Los Angeles,Burbank,Local,Hotel,4
373,"Auberge du Soleil, An Auberge Resort",9.5, Exceptional ,37,"Nestled among a 33-acre olive grove, this luxury Napa Valley resort features an outdoor pool with cabanas, a relaxing health and wellness spa and a fine dining restaurant. ",Napa,Rutherford,Auberge,Hotel,4
374,Enchante Boutique Hotel,9.4, Awesome ,77,"In the heart of Silicon Valley, you can find a bit of Paris at the Enchante Boutique Hotel. Guests can relax in the library, sitting by the fireplace, or on the outdoor patio. ",San Francisco,Los Altos,Local,Hotel,4
375,Kenwood Inn & Spa,9.1, Awesome ,119,"Located in the heart of Wine Country, this hotel offers guests a romantic getaway. An on-site spa offering massage and facials, and spacious rooms with a fireplace are featured. ",Napa,Kenwood,Local,Hotel,4
376,DoubleTree by Hilton San Francisco Airport North,8.5, Very Good ,716,"Offering a free transfer service to San Francisco International Airport, this hotel provides a restaurant and a indoor splash pool.  Free WiFi is provided in all rooms. ",San Francisco,Brisbane,Hilton,Hotel,4
377,Hilton San Diego Bayfront,8.4, Very Good ,1900,"Overlooking San Diego Bay, this waterfront hotel is next to the San Diego Convention Center and PETCO Park, home of the San Diego Padres professional baseball team. It features a full-service spa. ",San Diego,San Diego,Hilton,Hotel,4
378,Crowne Plaza Silicon Valley North - Union City,8.2, Very Good ,365,"Located off Freeway 880 in San Francisco’s East Bay, this Union City hotel offers convenient amenities such as free WiFi access and an on-site restaurant. ",San Francisco,Union City,Crowne Plaza,Hotel,4
379,Pullman San Francisco Bay,8.2, Very Good ,374,"This hotel overlooks a lagoon and offers an airport shuttle to and from the San Francisco International Airport, 12 mi away.  Pullman San Francisco Bay has a concierge service and a jogging course. ",San Francisco,Redwood City,Pullman,Hotel,4
380,Hyatt House Belmont Redwood Shores,8.9, Excellent ,247,"Featuring an outdoor pool, the Hyatt House Belmont Redwood Shores offers accommodations in Belmont. Free WiFi is available. ",San Francisco,Belmont,Hyatt,Hotel,4
381,The North Shore Inn,9.0, Awesome ,64,"Located along side Lake Gregory in Crestline, California, 13 mi from Snow Valley Ski Resort, the North Shore Inn offers rooms with free WiFi. Barbecue facilities are available for guest use. ",Los Angeles,Crestline,Local,Hotel,4
382,Oakland Marriott City Center,8.5, Very Good ,521,"Across the street from the BART Subway System with easy access to downtown San Francisco, this hotel features an outdoor pool. Guest rooms include cable TV with HBO movie channels. ",San Francisco,Oakland,Marriott,Hotel,4
383,Hilton Woodland Hills/ Los Angeles,8.6, Excellent ,602,"Located in Woodland Hills and featuring easy access to Freeway 101, Hilton Woodland Hills/Los Angeles features an on-site restaurant and a state-of-the-art 24-hour fitness center. ",Los Angeles,Woodland Hills,Hilton,Hotel,4
384,Kimpton Shorebreak Huntington Beach Resort,9.2, Awesome ,436,"Steps from the Pacific Ocean, entertainment and the vibrant beach-side nightlife of Huntington Beach, this updated boutique full-service hotel offers state-of-the-art amenities, including a modern...",Los Angeles,Huntington Beach,Kimpton,Hotel,4
385,Crowne Plaza Hotel Los Angeles Harbor,7.8, Good ,384,"Only 4 blocks from The World Cruise Center, this hotel in San Pedro, overlooks the Port of Los Angeles. Guests can enjoy an on-site swimming pool and restaurant. ",Los Angeles,San Pedro,Crowne Plaza,Hotel,4
386,Hyatt Place UC Davis,8.4, Very Good ,360,"Featuring free WiFi and a year-round outdoor pool, Hyatt Place UC Davis offers pet-friendly accommodations in Davis, 14 mi from Sacramento. Guests can enjoy the on-site restaurant. ",Sacramento,Davis,Hyatt,Hotel,4
387,Calistoga Motor Lodge and Spa,8.7, Excellent ,140,"Located at the beginning of Silverado Trail, the Calistoga Motor Lodge and Spa is a boutique hotel featuring 3 on-site hot spring mineral water pools. ",Napa,Calistoga,Local,Hotel,4
388,Crowne Plaza Los Angeles-Commerce Casino,7.7, Good ,157,"Adjacent to the Commerce Casino, this hotel in Commerce, California is 8 miles from downtown Los Angeles. It features lush gardens, water fountains and several on-site dining options. ",Los Angeles,Commerce,Crowne Plaza,Hotel,4
389,Hyatt Place Sacramento Rancho Cordova,8.8, Excellent ,137,"Hyatt Place Sacramento Rancho Cordova is located in Rancho Cordova, 11 mi from Sacramento. Hyatt Place Sacramento Rancho Cordova features free WiFi. A TV is featured. ",Sacramento,Rancho Cordova,Hyatt,Hotel,4
390,Radisson Hotel San Diego Rancho Bernardo,8.5, Very Good ,267,"Located 10 miles away from San Diego Zoo Safari Park, this hotel features an outdoor pool and hot tub.  It offers an on-site restaurant and a fitness center.  All rooms include free Wi-Fi. ",San Diego,Rancho Bernardo,Radisson,Hotel,4
391,Holiday Inn Express Hotel & Suites El Dorado Hills,9.2, Awesome ,113,This El Dorado Hills hotel serves a daily hot breakfast and provides rooms with free Wi-Fi. Guests can relax in the outdoor pool or work out in the fitness center. Folsom Lake is a 7-mile drive away. ,Sacramento,El Dorado Hills,Holiday,Hotel,4
392,The Sierra Nevada Resort & Spa,7.9, Good ,372,"Located in the beautiful Mammoth Lakes region, The Sierra Nevada Resort & Spa features a seasonal outdoor pool and access to nearby skiing. Free WiFi and area shuttle service are offered. ",Mammoth Lakes,Mammoth Lakes,Local,Hotel,4
393,DoubleTree by Hilton Carson,8.1, Very Good ,150,"Just 3 miles from StubHub Center, home of the LA Galaxy and Chivas football teams, this Carson hotel features on-site dining options. Free guest parking is available. ",Los Angeles,Carson,Hilton,Hotel,4
394,Indian Palms Vacation Club,8.0, Very Good ,78,"This Indio vacation club features a 27-hole championship golf course. Guest accommodations include full kitchens, and an outdoor swimming pool with hot tub are located on-site. ",Riverside,Indio,Local,Hotel,4
395,Bodega Bay Lodge,9.3, Awesome ,603,"Surrounded by the Sonoma Coast, Bodega Bay Lodge sits on a hill overlooking Doran Regional Park with views of the Pacific Ocean and Bodega Bay. ",Napa,Bodega Bay,Local,Hotel,4
396,North Cliff Hotel,9.1, Awesome ,572,"Located on the Mendocino Coast, North Cliff Hotel offers rooms with views of the Pacific Ocean and Noyo Bay.  A hot breakfast buffet is served daily.  Glass Beach is 1.5 mi from the hotel. ",Mendocino,Fort Bragg,Local,Hotel,4
397,Holiday Inn Express & Suites Yosemite Park Area,8.8, Excellent ,68,"Located off Highway 99, only 59 miles away from Yosemite National Park South Gates, this Chowchilla hotel features an outdoor pool. It serves a daily hot breakfast buffet.  All rooms offer free Wi-Fi....",Mammoth Lakes,Chowchilla,Holiday,Hotel,4
398,Lucky 7 Casino & Hotel (Howonquet Lodge),9.0, Awesome ,292,"Located in Smith River, Lucky 7 Casino & Hotel (Howonquet Lodge) features a casino, fitness center and shared lounge. ",Eureka,Smith River,Local,Hotel,4
399,Best Western Plus Tree House,8.7, Excellent ,253,"Located off Interstate 5, Best Western Plus Tree House is 10 minutes’ drive away from Mount Shasta Ski Park.  It features an on-site restaurant and lounge. All guest rooms are equipped with free WiFi....",Redding,Mount Shasta,Best Western,Hotel,4
400,Victorian Inn,8.7, Excellent ,171,"Located in Ferndale at the base of the Kings Mountain Range, this Victorian inn offers free Wi-Fi access in all guest rooms. Guests can enjoy a daily free full breakfast. ",Eureka,Ferndale,Local,Hotel,4
401,Benbow Historic Inn,8.5, Very Good ,130,"Overlooking the river, Benbow Historic Inn features river, mountain and garden views in all rooms. The outdoor pool, restaurant and spa area is onsite. Free WiFi is included. ",Eureka,Garberville,Local,Hotel,4
402,Casa Tropicana,7.9, Good ,38,"Offering panoramic ocean views, this California boutique hotel is across the street from the San Clemente Pier.  All luxurious guest rooms boast a fireplace and spa bath. Free Wi-Fi is included. ",Los Angeles,San Clemente,Local,Hotel,4
403,Panama Hotel,8.6, Excellent ,46,"Set between San Francisco and California's Wine Country, Panama Hotel is a historic boutique inn located in San Rafael and features a number of amenities including a restaurant on site and a garden. ",San Francisco,San Rafael,Local,Hotel,4
404,Wine & Roses Hotel Restaurant Spa Lodi,9.3, Awesome ,92,"This 4-star hotel is in Lodi, California, home of several award-winning wineries. The hotel offers a full-service spa, an outdoor swimming pool and on-site restaurant with wine bar. ",San Francisco,Lodi,Local,Hotel,4
405,Renaissance ClubSport Walnut Creek Hotel,8.8, Excellent ,114,This Walnut Creek hotel is a 5 minute walk of the Pleasant Hill BART Station. The hotel features a full service spa and rooms with iPod docking stations. ,San Francisco,Walnut Creek,Renaissance,Hotel,4
406,Shenandoah Inn,9.0, Awesome ,119,"In the Sierra Foothills in Gold Country, this Plymouth hotel is a 10-minute drive from Sutter Gold Mine. It features an outdoor pool, hot tub and 35-inch flat-screen satellite TV in every room. ",Sacramento,Plymouth,Local,Hotel,4
407,The Ranch At Death Valley,7.4, Good ,21,"Located within Death Valley National Park, The Ranch At Death Valley provides accommodations with an outdoor swimming pool and a tennis court. ",Bakersfield,Death Valley,Local,Hotel,4
408,Aloft Silicon Valley,8.7, Excellent ,142,"Featuring an outdoor pool, this modern hotel features suites with a kitchenette and a deep soaking tub. ",San Francisco,Newark,Aloft,Hotel,4
409,"The Ritz-Carlton Bacara, Santa Barbara",8.8, Excellent ,344,"Adjacent to the Sandpiper golf course, this Santa Barbara resort features beautiful ocean views, an outdoor pool and on-site dining. All guest rooms include a private patio with a view. ",Santa Barbara,Goleta,Ritz-Carlton,Hotel,5
410,Hotel Californian,9.1, Awesome ,62,"Located next to the Funk Zone in Santa Barbara, the Hotel Californian is just steps from the beach and features an outdoor pool. ",Santa Barbara,West Beach,Local,Hotel,5
411,St. Regis San Francisco,8.8, Excellent ,183,"Featuring a full service spa, an indoor infinity pool and an on-site restaurant, this luxury hotel is located in the SOMA District of San Francisco. A flat-screen TV is included in each guest room. ",San Francisco,Downtown San Francisco,St. Regis,Hotel,5
412,Kimpton Hotel Palomar San Diego,8.5, Very Good ,385,"Boasting a rooftop pool and bar and an on-site restaurant, this luxury design hotel features stylish guest rooms with floor-to-ceiling windows. A fitness center is located on site. ",San Diego,Downtown San Diego,Kimpton,Hotel,5
413,Pendry San Diego,9.4, Awesome ,420,"Located in San Diego and with San Diego Convention Center reachable within a 10-minute walk, Pendry San Diego has an outdoor swimming pool, non-smoking rooms, free WiFi and a fitness center. ",San Diego,Downtown San Diego,Local,Hotel,5
414,"Hotel del Coronado, Curio Collection by Hilton",7.7, Good ,701,"This historic hotel is ideally situated along California's Pacific coastline and boasts luxurious accommodations, first-class amenities and exceptional service, in a charming Victorian-style...",San Diego,Coronado,Hilton,Hotel,5
415,The Fairmont San Jose,8.5, Very Good ,579,"Centrally located in downtown San Jose, this hotel features a luxury day spa, 4 restaurants and outdoor rooftop pool. SAP Center at San Jose and San Jose State University are 10 minutes' walk away. ",San Francisco,Downtown San Jose,Fairmont,Hotel,5
416,Fairmont Grand Del Mar,9.3, Awesome ,63,"Featuring 4 outdoor pools, this San Diego 5-diamond, Mediterranean-inspired resort features tennis courts, 6 restaurants, a lobby bar, a golf course and a spa. ",San Diego,Carmel Valley,Fairmont,Hotel,5
417,The Beverly Hills Hotel - Dorchester Collection,9.4, Awesome ,286,"Known as “The Pink Palace,” this luxury hotel on Sunset Boulevard features the full-service La Prairie Spa and a beautiful outdoor pool. Downtown Beverly Hills is just 1 mi away. ",Los Angeles,Beverly Hills,Dorchester,Hotel,5
418,Montage Beverly Hills,8.9, Excellent ,188,This Beverly Hills hotel offers a rooftop pool with a sun terrace. Free WiFi is available and Turkish cotton bathrobes are provided. Staples Center is 20 minutes’ drive away. ,Los Angeles,Beverly Hills,Montage,Hotel,5
419,"The Ritz-Carlton, San Francisco",8.8, Excellent ,299,"Just 10 minutes' walk from Union Square and the Financial District, this luxury hotel offers on-site dining and spa services. A fitness center is also available. ",San Francisco,Nob Hill,Ritz-Carlton,Hotel,5
420,Fairmont San Francisco,8.7, Excellent ,1219,"Atop centrally located Nob Hill, this landmark San Francisco hotel features luxurious rooms and suites. A full-service gym and spa and 3 unique dining experiences are available on site. ",San Francisco,Nob Hill,Fairmont,Hotel,5
421,The Peninsula Beverly Hills,9.4, Awesome ,187,"Located in Beverly Hills, this hotel is 12 minutes' walk from shopping on Rodeo Drive. It features gourmet on-site dining options, a full-service spa and spacious guest rooms with flat-screen TVs. ",Los Angeles,Beverly Hills,Peninsula,Hotel,5
422,The NoMad Los Angeles,8.8, Excellent ,389,"Located in Downtown LA’s historic Giannini Building, the NoMad Los Angeles features several on-site dining options and a rooftop pool. ",Los Angeles,Downtown LA,Nomad,Hotel,5
423,"Palace Hotel, a Luxury Collection Hotel, San Francisco",8.7, Excellent ,1418,"Famed bars, an awe-inspiring crystal chandelier restaurant, a fitness area and a glass dome indoor pool are featured at this landmark Financial District Palace. ",San Francisco,Financial District,Luxury Collection,Hotel,5
424,The Jeremy Hotel West Hollywood,8.9, Excellent ,725,"Located in the West Hollywood district in Los Angeles, 2.1 miles from Dolby Theater, The Jeremy Hotel West Hollywood features a year-round outdoor pool and fitness centre. ",Los Angeles,West Hollywood,Local,Hotel,5
425,Casa Del Mar,9.0, Awesome ,555,This Santa Monica oceanfront hotel features 2 on-site restaurants and has a hydrotherapy spa tub in each room. It offers an outdoor pool and hot tub. 3rd Street Promenade is 5 minutes’ walk away. ,Los Angeles,Santa Monica,Local,Hotel,5
426,Four Seasons Hotel San Francisco,8.9, Excellent ,312,"Located five minutes’ walk to the shops and restaurants at Union Square and Yerba Buena Gardens, this San Francisco hotel provides a full-service spa, an adult indoor lap pool and a restaurant. ",San Francisco,Union Square,Four Seasons,Hotel,5
427,"Beverly Wilshire, A Four Seasons Hotel",8.9, Excellent ,409,"Beverly Wilshire, a 4 Seasons Hotel is located across the street from Rodeo Drive. The hotel features a Mediterranean-style pool and hot tub with private cabanas. ",Los Angeles,Beverly Hills,Four Seasons,Hotel,5
428,"The Luxury Suites, Marina del Rey",7.7, Good ,60,"Located 8 miles from Petersen Automotive Museum and providing an outdoor swimming pool, The Luxury Suites, Marina del Rey has accommodations in Los Angeles. The accommodations have a hot tub. ",Los Angeles,Venice Beach,Luxury Collection,Hotel,5
429,Oceana,8.1, Very Good ,312,This boutique hotel is adjacent to Santa Monica Beach and 1 mile from shopping at Third Street Promenade. It features massage service and spacious rooms with plasma TVs. ,Los Angeles,Santa Monica,Local,Hotel,5
430,Fairmont Miramar Hotel & Bungalows,8.4, Very Good ,261,"Offering a full-service spa and rooms with a 42-inch flat-screen TV, this oceanfront hotel is 3 minutes' drive from Santa Monica Beach Park.  It features an outdoor pool and hot tub. ",Los Angeles,Santa Monica,Fairmont,Hotel,5
431,Kimpton La Peer Hotel,8.8, Excellent ,82,This artisan hotel is located on a tree-lined side street in West Hollywood's Design District. It offers an on-site restaurant and a pool for guest relaxation. ,Los Angeles,West Hollywood,Kimpton,Hotel,5
432,The London West Hollywood at Beverly Hills,8.9, Excellent ,760,"Steps from Beverly Hills and Rodeo Drive shopping, this boutique West Hollywood hotel features a rooftop deck with cabanas and a restaurant that serves a daily European continental breakfast buffet...",Los Angeles,West Hollywood,Local,Hotel,5
433,Hotel Bel-Air - Dorchester Collection,9.3, Awesome ,106,"This historic, 1950’s hotel is located in Bel-Air neighbor of Los Angeles and features rooms with flat-screen TVs. The hotel has a large garden and a full-service spa located on-site. ",Los Angeles,Bel Air ,Dorchester,Hotel,5
434,Four Seasons Hotel Los Angeles at Beverly Hills,9.1, Awesome ,246,"Located in the center of Los Angeles this luxurious, full-service hotel provides rooms with French doors opening to private balconies. This 5-star hotel features a full-service spa and outdoor pool. ",Los Angeles,Beverly Hills,Four Seasons,Hotel,5
435,Taj Campton Place,8.9, Excellent ,349,"Steps from Union Square, this historic yet modernized hotel features classic European charm and in-room spa services. ",San Francisco,Union Square,Taj,Hotel,5
436,Viceroy L'Ermitage Beverly Hills,9.2, Awesome ,426,"This 5-star hotel is located on a residential street in Beverly Hills, within walking distance of Rodeo Drive. The hotel offers a rooftop pool, spa services and spacious guest rooms. ",Los Angeles,Beverly Hills,Viceroy,Hotel,5
437,Resort at Pelican Hill,9.1, Awesome ,188,"Featuring Italian Renaissance architecture, this 504 acre luxury resort features spacious bungalows and suites with flat-screen TVs and iPod docking stations. ",Los Angeles,Crystal Cove,Local,Hotel,5
438,The Fairmont Heritage Place Ghirardelli Square,9.1, Awesome ,203,"Built high atop Ghirardelli Square with San Francisco Bay views, this urban San Francisco resort features luxurious apartments with free WiFi and fully equipped gourmet kitchens. ",San Francisco,Fisherman's Wharf,Fairmont,Hotel,5
439,"The Ritz-Carlton, Marina del Rey",8.5, Very Good ,212,"This waterfront hotel has an outdoor pool with a sun-lounger terrace and views of the marina. It is located 2-miles from Venice Beach, and 5-miles from Los Angeles International Airport. ",Los Angeles,Marina Del Rey,Ritz-Carlton,Hotel,5
440,"The Ritz-Carlton, Los Angeles L.A. Live",8.6, Excellent ,110,"In downtown Los Angeles, just a block from the Staples Center, the Ritz-Carlton Los Angeles offers luxurious rooms with marble bathrooms, flat-screen TVs, and iPod docks. ",Los Angeles,Downtown LA,Ritz-Carlton,Hotel,5
441,Waldorf Astoria Beverly Hills,9.3, Awesome ,127,"Featuring an outdoor swimming pool, Waldorf Astoria Beverly Hills is located in Los Angeles, 2.9 miles from Petersen Automotive Museum. This 5-star hotel features free WiFi and a fitness center. ",Los Angeles,Beverly Hills,Waldorf Astoria,Hotel,5
442,JW Marriott San Francisco Union Square,8.4, Very Good ,324,"Located in San Francisco’s vibrant Union Square, this hotel offers air-conditioned rooms with chic, modern furnishings. Guests can enjoy a drink and a meal at the on-site bar and restaurant. ",San Francisco,Union Square,Marriott,Hotel,5
443,"SLS Hotel, a Luxury Collection Hotel, Beverly Hills",8.2, Very Good ,564,"Just 1 block from the Beverly Center Mall, this luxury hotel is a 15-minute drive from downtown Hollywood. It features a state-of-the-art gym, on-site dining, and a rooftop pool deck. ",Los Angeles,Beverly Hills,Luxury Collection,Hotel,5
444,L'Horizon Resort & Spa,9.0, Awesome ,192,"Offering a spa center and hot tub, L'Horizon Resort & Spa Palm Springs is an adult only (21+) resort, 1.6 mi from Palm Springs Convention Center. Guests can enjoy the on-site restaurant. ",Palm Springs,Palm Springs Uptown,Local,Hotel,5
445,Simpson House Inn,9.4, Awesome ,285,"Built in 1874, this Victorian bed and breakfast is surrounded by lush landscaped grounds and 3 blocks of city parks.  It features gourmet breakfast and evening wine tastings. ",Santa Barbara,Santa Barbara Downtown,Local,Hotel,5
446,Four Seasons Resort The Biltmore Santa Barbara,9.0, Awesome ,128,"Located on 20 acres of lush coastal gardens and offering a full spa, this beachside retreat features 3 on-site dining options. Guest rooms offer Spanish-inspired furnishings and views of the grounds. ",Santa Barbara,Montecito,Four Seasons,Hotel,5
447,Pantai Inn,9.5, Exceptional ,311,"In downtown La Jolla, California, this boutique inn offers spacious Balinese inspired rooms with well-equipped kitchens, fireplaces and Pacific Ocean views. ",San Diego,La Jolla,Local,Hotel,5
448,"The US Grant, a Luxury Collection Hotel, San Diego",8.8, Excellent ,271,"Experience luxurious accommodations, exceptional service and unrivaled amenities in the heart of San Diego at this elegant historic hotel, located only moments away from the area's most popular...",San Diego,Downtown San Diego,Luxury Collection,Hotel,5
449,The Lodge at Torrey Pines,9.2, Awesome ,125,"Overlooking Torrey Pines Golf Course, this boutique La Jolla hotel features an outdoor pool and a spa and wellness center. It features an on-site restaurant and spacious rooms with free Wi-Fi. ",San Diego,La Jolla,Local,Hotel,5
450,Shutters On The Beach,8.8, Excellent ,440,"Located directly on the beach, this Santa Monica, California resort features 2 oceanfront restaurants, an outdoor swimming pool and a spa. Each elegant room provides a spacious spa bath. ",Los Angeles,Santa Monica,Local,Hotel,5
451,Loews Regency San Francisco,8.9, Excellent ,283,"Featuring stunning views of downtown San Francisco from each spacious guestroom, Loews Regency San Francisco offers gourmet on-site dining, in-room massage services and easy access to sites such as...",San Francisco,Financial District,Loews,Hotel,5
452,Calamigos Guest Ranch and Beach Club,9.0, Awesome ,202,"Located on the California coast, Calamigos Guest Ranch and Beach Club offers pet-friendly accommodations in Malibu. ",Los Angeles,Malibu,Local,Hotel,5
453,Belmond El Encanto,9.3, Awesome ,196,"Offering sweeping Pacific Ocean views, this boutique hotel is 5 minutes’ drive away from Central Santa Barbara. It features an outdoor pool, a spa and wellness center and an on-site bar and...",Santa Barbara,Santa Barbara,Belmond,Hotel,5
454,The Landing Resort and Spa,9.1, Awesome ,273,"Located in Heavenly Village Ski Resort, The Landing Resort and Spa offers free transportation to the Heavenly Village and Casinos. Rooms include a 55-inch wall-mounted LCD TV and plush terry...",Lake Tahoe,South Lake Tahoe,Local,Hotel,5
